Year,Sex,Type,Cancer_Type,Age_0_to_4,Age_5_to_9,Age_10_to_14,Age_15_to_19,Age_20_to_24,Age_25_to_29,Age_30_to_34,Age_35_to_39,Age_40_to_44,Age_45_to_49,Age_50_to_54,Age_55_to_59,Age_60_to_64,Age_65_to_69,Age_70_to_74,Age_75_to_79,Age_80_to_84,Age_85+,Age_Unknown,Total
1968,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1969,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1970,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1971,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1972,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1973,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1974,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1975,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1976,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1977,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1978,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1979,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1980,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1981,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,0
1982,Male,Incidence,Acute lymphoblastic leukaemia,42,25,14,14,5,2,5,3,1,0,0,1,7,2,3,4,1,0,0,129
1983,Male,Incidence,Acute lymphoblastic leukaemia,41,18,11,4,6,5,3,1,0,1,2,0,0,3,2,5,6,2,0,110
1984,Male,Incidence,Acute lymphoblastic leukaemia,49,18,10,10,8,1,1,2,2,3,1,4,6,2,4,2,2,1,0,126
1985,Male,Incidence,Acute lymphoblastic leukaemia,59,17,15,13,7,2,6,5,1,2,4,4,3,7,3,4,1,0,0,153
1986,Male,Incidence,Acute lymphoblastic leukaemia,43,17,13,10,8,5,4,1,1,1,2,2,6,8,5,5,0,1,0,132
1987,Male,Incidence,Acute lymphoblastic leukaemia,31,19,14,21,7,1,5,1,6,2,2,4,4,3,7,4,4,1,0,136
1988,Male,Incidence,Acute lymphoblastic leukaemia,42,11,14,10,8,6,4,4,7,2,2,4,7,3,5,2,3,1,0,135
1989,Male,Incidence,Acute lymphoblastic leukaemia,46,24,15,12,6,6,7,6,1,4,2,6,7,2,3,4,2,2,0,155
1990,Male,Incidence,Acute lymphoblastic leukaemia,46,24,19,19,6,7,3,1,2,6,1,3,2,4,5,1,1,0,0,150
1991,Male,Incidence,Acute lymphoblastic leukaemia,51,27,15,8,9,5,1,1,4,5,3,0,5,5,2,3,2,0,0,146
1992,Male,Incidence,Acute lymphoblastic leukaemia,44,24,9,14,6,4,2,6,4,4,2,1,1,8,4,3,1,2,0,139
